packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
22654,SENSOR_DATA,13,1,13->23->22->11->1,4,2680.598362,2680.598671,0.000309
22669,SENSOR_DATA,10,1,10->0->1,2,2682.081586,2682.081765,0.000179
22675,SENSOR_DATA,33,1,33->32->22->11->1,4,2682.598748,2682.599067,0.000319
22678,SENSOR_DATA,23,1,23->22->11->1,3,2682.787308,2682.787542,0.000234
22699,SENSOR_DATA,0,1,0->1,1,2684.741474,2684.741564,0.000090
22716,SENSOR_DATA,32,1,32->22->11->1,3,2686.965071,2686.965310,0.000239
22718,SENSOR_DATA,11,1,11->1,1,2686.999538,2686.999617,0.000079
22727,SENSOR_DATA,2,1,2->1,1,2687.907825,2687.907891,0.000066
22726,SENSOR_DATA,12,1,12->11->1,2,2687.907773,2687.907899,0.000125
22735,SENSOR_DATA,3,1,3->2->1,2,2688.527649,2688.527781,0.000132
22736,SENSOR_DATA,22,1,22->11->1,2,2688.607701,2688.607863,0.000162
22752,SENSOR_DATA,13,1,13->23->22->11->1,4,2690.598362,2690.598671,0.000309
22767,SENSOR_DATA,10,1,10->0->1,2,2692.081586,2692.081765,0.000179
22773,SENSOR_DATA,33,1,33->32->22->11->1,4,2692.598748,2692.599067,0.000319
22776,SENSOR_DATA,23,1,23->22->11->1,3,2692.787308,2692.787542,0.000234
22797,SENSOR_DATA,0,1,0->1,1,2694.741474,2694.741564,0.000090
22814,SENSOR_DATA,32,1,32->22->11->1,3,2696.965071,2696.965310,0.000239
22816,SENSOR_DATA,11,1,11->1,1,2696.999538,2696.999617,0.000079
22825,SENSOR_DATA,2,1,2->1,1,2697.907825,2697.907891,0.000066
22824,SENSOR_DATA,12,1,12->11->1,2,2697.907773,2697.907899,0.000125
22833,SENSOR_DATA,3,1,3->2->1,2,2698.527649,2698.527781,0.000132
22834,SENSOR_DATA,22,1,22->11->1,2,2698.607701,2698.607863,0.000162
22850,SENSOR_DATA,13,1,13->23->22->11->1,4,2700.598362,2700.598671,0.000309
22865,SENSOR_DATA,10,1,10->0->1,2,2702.081586,2702.081765,0.000179
22871,SENSOR_DATA,33,1,33->32->22->11->1,4,2702.598748,2702.599067,0.000319
22874,SENSOR_DATA,23,1,23->22->11->1,3,2702.787308,2702.787542,0.000234
22895,SENSOR_DATA,0,1,0->1,1,2704.741474,2704.741564,0.000090
22912,SENSOR_DATA,32,1,32->22->11->1,3,2706.965071,2706.965310,0.000239
22914,SENSOR_DATA,11,1,11->1,1,2706.999538,2706.999617,0.000079
22923,SENSOR_DATA,2,1,2->1,1,2707.907825,2707.907891,0.000066
22922,SENSOR_DATA,12,1,12->11->1,2,2707.907773,2707.907899,0.000125
22931,SENSOR_DATA,3,1,3->2->1,2,2708.527649,2708.527781,0.000132
22932,SENSOR_DATA,22,1,22->11->1,2,2708.607701,2708.607863,0.000162
22948,SENSOR_DATA,13,1,13->23->22->11->1,4,2710.598362,2710.598671,0.000309
22963,SENSOR_DATA,10,1,10->0->1,2,2712.081586,2712.081765,0.000179
22969,SENSOR_DATA,33,1,33->32->22->11->1,4,2712.598748,2712.599067,0.000319
22972,SENSOR_DATA,23,1,23->22->11->1,3,2712.787308,2712.787542,0.000234
22993,SENSOR_DATA,0,1,0->1,1,2714.741474,2714.741564,0.000090
23010,SENSOR_DATA,32,1,32->22->11->1,3,2716.965071,2716.965310,0.000239
23012,SENSOR_DATA,11,1,11->1,1,2716.999538,2716.999617,0.000079
23021,SENSOR_DATA,2,1,2->1,1,2717.907825,2717.907891,0.000066
23020,SENSOR_DATA,12,1,12->11->1,2,2717.907773,2717.907899,0.000125
23029,SENSOR_DATA,3,1,3->2->1,2,2718.527649,2718.527781,0.000132
23030,SENSOR_DATA,22,1,22->11->1,2,2718.607701,2718.607863,0.000162
23046,SENSOR_DATA,13,1,13->23->22->11->1,4,2720.598362,2720.598671,0.000309
23061,SENSOR_DATA,10,1,10->0->1,2,2722.081586,2722.081765,0.000179
23067,SENSOR_DATA,33,1,33->32->22->11->1,4,2722.598748,2722.599067,0.000319
23070,SENSOR_DATA,23,1,23->22->11->1,3,2722.787308,2722.787542,0.000234
23091,SENSOR_DATA,0,1,0->1,1,2724.741474,2724.741564,0.000090
23108,SENSOR_DATA,32,1,32->22->11->1,3,2726.965071,2726.965310,0.000239
23110,SENSOR_DATA,11,1,11->1,1,2726.999538,2726.999617,0.000079
23119,SENSOR_DATA,2,1,2->1,1,2727.907825,2727.907891,0.000066
23118,SENSOR_DATA,12,1,12->11->1,2,2727.907773,2727.907899,0.000125
23127,SENSOR_DATA,3,1,3->2->1,2,2728.527649,2728.527781,0.000132
23128,SENSOR_DATA,22,1,22->11->1,2,2728.607701,2728.607863,0.000162
23144,SENSOR_DATA,13,1,13->23->22->11->1,4,2730.598362,2730.598671,0.000309
23159,SENSOR_DATA,10,1,10->0->1,2,2732.081586,2732.081765,0.000179
23165,SENSOR_DATA,33,1,33->32->22->11->1,4,2732.598748,2732.599067,0.000319
23168,SENSOR_DATA,23,1,23->22->11->1,3,2732.787308,2732.787542,0.000234
23189,SENSOR_DATA,0,1,0->1,1,2734.741474,2734.741564,0.000090
23206,SENSOR_DATA,32,1,32->22->11->1,3,2736.965071,2736.965310,0.000239
23208,SENSOR_DATA,11,1,11->1,1,2736.999538,2736.999617,0.000079
23217,SENSOR_DATA,2,1,2->1,1,2737.907825,2737.907891,0.000066
23216,SENSOR_DATA,12,1,12->11->1,2,2737.907773,2737.907899,0.000125
23225,SENSOR_DATA,3,1,3->2->1,2,2738.527649,2738.527781,0.000132
