clusterhead_1,clusterhead_2,distance
49,53,378.108795
49,56,214.538064
49,57,128.032692
49,58,98.279732
49,59,81.205937
49,60,606.271034
49,61,534.021129
49,65,267.044020
49,66,239.554978
49,68,139.322189
49,69,122.722112
49,71,551.970238
49,72,510.455240
49,73,428.111780
49,74,358.237104
49,75,316.301382
49,77,198.527595
49,81,554.851146
49,82,505.412668
49,83,431.807167
49,86,325.736083
49,87,282.158004
49,88,297.710401
49,89,258.283326
49,90,669.893036
49,91,581.047681
49,93,491.441794
49,94,456.697506
49,95,400.185273
49,96,372.187061
49,97,364.131888
49,98,359.280139
49,99,327.891230
50,53,209.387102
50,56,380.362392
50,57,468.587782
50,58,508.732251
50,59,618.216275
50,60,53.543956
50,61,90.443608
50,65,353.147569
50,66,388.436944
50,68,560.832687
50,69,588.201434
50,71,136.244148
50,72,175.620784
50,73,255.072880
50,74,310.541471
50,75,354.354041
50,77,507.131936
50,81,190.066547
50,82,271.635553
50,83,284.085091
50,86,476.350973
50,87,495.166291
50,88,585.451185
50,89,620.728128
50,90,265.295960
50,91,250.980290
50,93,369.170295
50,94,386.138513
50,95,413.268191
50,96,494.695124
50,97,545.953626
50,98,619.009569
50,99,666.731208
53,56,171.093358
53,57,259.223453
53,58,299.345766
53,59,408.855965
53,60,228.398542
53,61,159.224032
53,65,151.828882
53,66,185.931138
53,68,354.221634
53,69,380.397842
53,71,190.686564
53,72,166.452166
53,73,145.949709
53,74,149.407635
53,75,175.917953
53,77,306.657057
53,81,215.350854
53,82,222.531326
53,83,176.276249
53,86,306.140216
53,87,311.969792
53,88,401.391892
53,89,426.800573
53,90,338.642218
53,91,267.039131
53,93,285.350664
53,94,279.863779
53,95,275.596126
53,96,338.411104
53,97,382.017803
53,98,445.668842
53,99,481.230443
56,57,89.350951
56,58,128.691036
56,59,237.898584
56,60,395.678446
56,61,321.432935
56,65,63.702514
56,66,59.469218
56,68,187.075240
56,69,210.949294
56,71,337.436142
56,72,296.453996
56,73,219.410994
56,74,157.010614
56,75,128.834653
56,77,154.941016
56,81,341.822517
56,82,301.733537
56,83,229.373941
56,86,215.220579
56,87,196.147711
56,88,272.025025
56,89,279.485038
56,90,459.713993
56,91,372.968286
